Description	
Number of Runs	750
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
256	900	1173	1	04/10/25 12:15:09 PM	
257	900	1158	1	04/10/25 12:15:10 PM	
258	900	1177	1	04/10/25 12:15:11 PM	
259	900	1133	1	04/10/25 12:15:12 PM	
260	900	1167	1	04/10/25 12:15:13 PM	
261	900	1168	1	04/10/25 12:15:15 PM	
262	900	1157	1	04/10/25 12:15:16 PM	
263	900	1168	1	04/10/25 12:15:17 PM	
264	900	1153	1	04/10/25 12:15:18 PM	
265	900	1170	1	04/10/25 12:15:20 PM	
266	900	1147	1	04/10/25 12:15:21 PM	
267	900	1155	1	04/10/25 12:15:22 PM	
268	900	1152	1	04/10/25 12:15:23 PM	
269	900	1187	1	04/10/25 12:15:24 PM	
270	900	1169	1	04/10/25 12:15:25 PM	
271	900	1187	1	04/10/25 12:15:27 PM	
272	900	1178	1	04/10/25 12:15:28 PM	
273	900	1154	1	04/10/25 12:15:29 PM	
274	900	1163	1	04/10/25 12:15:30 PM	
275	900	1142	1	04/10/25 12:15:31 PM	
276	900	1141	1	04/10/25 12:15:33 PM	
277	900	1166	1	04/10/25 12:15:34 PM	
278	900	1181	1	04/10/25 12:15:35 PM	
279	900	1179	1	04/10/25 12:15:36 PM	
280	900	1143	1	04/10/25 12:15:37 PM	
281	900	1175	1	04/10/25 12:15:38 PM	
282	900	1179	1	04/10/25 12:15:40 PM	
283	900	1173	1	04/10/25 12:15:41 PM	
284	900	1216	1	04/10/25 12:15:42 PM	
285	900	1172	1	04/10/25 12:15:43 PM	
286	900	1164	1	04/10/25 12:15:44 PM	
287	900	1183	1	04/10/25 12:15:46 PM	
288	900	1144	1	04/10/25 12:15:47 PM	
289	900	1138	1	04/10/25 12:15:48 PM	
290	900	1142	1	04/10/25 12:15:49 PM	
291	900	1180	1	04/10/25 12:15:50 PM	
292	900	1186	1	04/10/25 12:15:51 PM	
293	900	1176	1	04/10/25 12:15:53 PM	
294	900	1168	1	04/10/25 12:15:54 PM	
295	900	1179	1	04/10/25 12:15:55 PM	
296	900	1135	1	04/10/25 12:15:56 PM	
297	900	1166	1	04/10/25 12:15:57 PM	
298	900	1161	1	04/10/25 12:15:59 PM	
299	900	1182	1	04/10/25 12:16:00 PM	
300	900	1168	1	04/10/25 12:16:01 PM	
301	900	1189	1	04/10/25 12:16:02 PM	
302	900	1170	1	04/10/25 12:16:03 PM	
303	900	1142	1	04/10/25 12:16:05 PM	
304	900	1158	1	04/10/25 12:16:06 PM	
305	900	1129	1	04/10/25 12:16:07 PM	
306	900	1138	1	04/10/25 12:16:08 PM	
307	900	1160	1	04/10/25 12:16:09 PM	
308	900	1161	1	04/10/25 12:16:11 PM	
309	900	1134	1	04/10/25 12:16:12 PM	
310	900	1155	1	04/10/25 12:16:13 PM	
311	900	1151	1	04/10/25 12:16:14 PM	
312	900	1147	1	04/10/25 12:16:15 PM	
313	900	1169	1	04/10/25 12:16:17 PM	
314	900	1163	1	04/10/25 12:16:18 PM	
315	900	1147	1	04/10/25 12:16:19 PM	
316	900	1167	1	04/10/25 12:16:20 PM	
317	900	1156	1	04/10/25 12:16:21 PM	
318	900	1173	1	04/10/25 12:16:22 PM	
319	900	1175	1	04/10/25 12:16:24 PM	
320	900	1146	1	04/10/25 12:16:25 PM	
321	900	1148	1	04/10/25 12:16:26 PM	
322	900	1168	1	04/10/25 12:16:27 PM	
323	900	1164	1	04/10/25 12:16:28 PM	
324	900	1160	1	04/10/25 12:16:30 PM	
325	900	1171	1	04/10/25 12:16:31 PM	
326	900	1161	1	04/10/25 12:16:32 PM	
327	900	1182	1	04/10/25 12:16:33 PM	
328	900	1174	1	04/10/25 12:16:34 PM	
329	900	1162	1	04/10/25 12:16:36 PM	
330	900	1155	1	04/10/25 12:16:37 PM	
331	900	1207	1	04/10/25 12:16:38 PM	
332	900	1184	1	04/10/25 12:16:39 PM	
333	900	1167	1	04/10/25 12:16:40 PM	
334	900	1157	1	04/10/25 12:16:42 PM	
335	900	1160	1	04/10/25 12:16:43 PM	
336	900	1164	1	04/10/25 12:16:44 PM	
337	900	1153	1	04/10/25 12:16:45 PM	
338	900	1176	1	04/10/25 12:16:46 PM	
339	900	1187	1	04/10/25 12:16:47 PM	
340	900	1171	1	04/10/25 12:16:49 PM	
341	900	1174	1	04/10/25 12:16:50 PM	
342	900	1177	1	04/10/25 12:16:51 PM	
343	900	1164	1	04/10/25 12:16:52 PM	
